Name,Age,Occupation,Hometown,Height,ElimWeek,Season,Year,Minority,hi
Melissa,25,Photographer,"Tempe, Arizona",,2,1,,,
Tina,27,Graduate Student,"Plano, Texas",,2,1,,,
Amber,29,Business Development Director,"Los Angeles, California",,1,1,,,
Daniela,30,Neuropsychologist,"Seattle, Washington",,1,1,,,
Denise,30,Doctor,"Honolulu, Hawaii",,1,1,,,
Jackie,22,Bar Manager,"Pittsburgh, Pennsylvania",,1,1,,,
Jill,31,Retail Manager,"Chicago, Illinois",,1,1,,,
Kristina,27,Advertising Executive,"Los Angeles, California",,1,1,,,
Lisa,29,Attorney,"Dallas, Texas",,1,1,,,
Paula,24,Insurance Representative,"Swansea, Massachusetts",,1,1,,,
Rachel,29,6th Grade Teacher,"Eastchester, New York",,1,1,,,
Wendi,26,Technology Specialist,"Dallas, Texas",,1,1,,,
Helene Eksterowicz,27,School Psychologist,"Gloucester, New Jersey",,,2,,,
Brooke Smith,22,College Student,"Albertville, Alabama",,7,2,,,
Gwen Gioia,31,Executive Recruiter,"Philadelphia, Pennsylvania",,6,2,,,
Angela,27,Registered Nurse,"Kansas City, Missouri",,5,2,,,
Hayley,28,Retail Manager,"Lake Oswego, Oregon",,4,2,,,
Heather Crawford,30,Flight Attendant,"Dallas, Texas",,4,2,,,
Christi,23,Assistant Financial Advisor,"Boise, Idaho",,3,2,,,
Heather,24,Marriage Therapy Trainee,"Walnut Creek, California",,3,2,,,
Kyla,22,Airline Supervisor,"Midvale, Utah",,3,2,,,
Shannon,26,Graphic Artist,"Long Island, New York",,3,2,,,
Dana,24,Radio Sales,"Beverly Hills, California",,2,2,,,
Erin,25,Publications Quality Control,"Westchester, Pennsylvania",,2,2,,,
Suzanne,33,Flight Attendant,"Redondo Beach, California",,2,2,,,
Frances,30,Strategic Planning Analyst,"San Francisco, California",,2,2,,,
Anindita,27,Attorney,"New York, New York",,2,2,,,
Amber,26,Psychologist,"Chapel Hill, North Carolina",,1,2,,,
Camille,29,Actress,"Los Angeles, California",,1,2,,,
Cari,29,3rd Grade Teacher,"Granite City, Illinois",,1,2,,,
Christy,24,Radiological Technologist,"Avondale, Arizona",,1,2,,,
Erin,24,Interior Designer,"Houston, Texas",,1,2,,,
Fatima,22,College Student,"Long Beach, California",,1,2,,,
Liangy,30,Paralegal,"Coral Gables, Florida",,1,2,,,
Lori,26,Former NBA Cheerleader,"Dallas, Texas",,1,2,,,
Merrilee,28,1st Grade Teacher,"Forked River, New Jersey",,1,2,,,
Suzi,28,Communications Specialist,"Richmond, Virginia",,1,2,,,
Jessica Bowlin,22,Student,"Huntington Beach, California",,,5,,,
Tara Huckeby,23,General contractor,"Shawnee, Oklahoma",,7,5,,,
Mandy Jaye Jeffreys,26,Designer for an architect firm,"Midland, Texas",,6,5,,,
Trish Schneider,28,Model,"Atlanta, Georgia",,5,5,,,
Suzie Williams,23,Prosthetic technician,"Ann Arbor, Michigan",,4,5,,,
Karen Lindsay,28,Pharmaceutical sales,"Pleasant Grove, Utah",,4,5,,,
Jessica Holcomb,25,Attorney,"Pearsall, Texas",,3,5,,,
Julie Durda,24,Professional Cheerleader,"Sacramento, California",,3,5,,,
Jenny De Schiralli,26,Swim instructor/nanny/personal trainer,"Carrboro, North Carolina",,3,5,,,
Katie Gehart,22,LASIK Eye and Skin Center manager,"Scottsdale, Arizona",,3,5,,,
Jean-Marie Callahan,26,Hair stylist,"Gibson, North Carolina",,2,5,,,
Debbie Merkett,27,Massage therapist/bartender,"Pinetops, North Carolina",,2,5,,,
Anne-Catherine Labbé,27,Model/make-up artist,"Quebec City, Quebec",,2,5,,,
Amber LaRoux,27,Consultant,"Sunriver, Oregon",,2,5,,,
Mandy Clemens,25,Professional soccer player,"San Diego, California",,2,5,,,
Kristy Romero,25,Student,"Dearborn, Michigan",,2,5,,,
Celeste Creel,24,Model/executive assistant,"Ithaca, New York",,2,5,,,
Jenny Matthews,24,Retail manager,"Canton, Michigan",,2,5,,,
Dolores Farburg,26,Account manager,"Madison, New Jersey",,1,5,,,
Francine Jones,25,Retail manager,"Houston, Texas",,1,5,,,
